...1,id,display_name,publication_year,type,journal,journal_id,doi,citations,first_author,n,group,X.1,X
151,https://openalex.org/W145388696,What is Equality? Part 1: Equality of Welfare,2018,book-chapter,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.4324/9781315199795-6,638,Ronald Dworkin,8,expand1,NA,NA
152,https://openalex.org/W135169145,Artificial Intelligence and Law: Stepping Stones to a Model of Legal Reasoning,1990,journal-article,Yale Law Journal,https://openalex.org/V161895660,https://doi.org/10.2307/796679,65,Edwina L. Rissland,8,expand1,NA,NA
153,https://openalex.org/W90006682,Legal argumentation and evidence,2002,book,NA,NA,NA,112,Douglas Walton,9,expand1,NA,NA
154,https://openalex.org/W796864152,Of the Original Contract,2015,book,NA,NA,NA,145,David Hume,9,expand1,NA,NA
155,https://openalex.org/W765526604,"Second-Order Reasons, Uncertainty and Legal Theory",1989,NA,NA,NA,NA,32,Stephen R. Perry,9,expand1,NA,NA
156,https://openalex.org/W629884033,Purposive Interpretation in Law,2005,book,NA,NA,NA,99,Aharon Barak,9,expand1,NA,NA
157,https://openalex.org/W591898085,"On the Rule of Law: History, Politics, Theory",2004,book,NA,NA,NA,339,Brian Z. Tamanaha,9,expand1,NA,NA
158,https://openalex.org/W579991283,Structure and function in criminal law,1997,book,NA,NA,NA,33,Paul H. Robinson,9,expand1,NA,NA
159,https://openalex.org/W575496659,Incivilities: Regulating Offensive Behaviour,2006,book,NA,NA,NA,46,A. P. Simester,9,expand1,NA,NA
160,https://openalex.org/W565653122,Lawyers and Justice: An Ethical Study,1988,book,NA,NA,NA,117,David Luban,9,expand1,NA,NA
161,https://openalex.org/W41490514,Strange Multiplicity: Constitutionalism in an Age of Diversity,1995,book,NA,NA,NA,758,James Tully,9,expand1,NA,NA
162,https://openalex.org/W374469591,Positive Law and Objective Values,2001,book,NA,NA,NA,70,Andrei Marmor,9,expand1,NA,NA
163,https://openalex.org/W3125977593,A Critique of Adjudication (fin de siecle),1997,posted-content,Social Science Research Network,https://openalex.org/V2751751161,NA,130,Duncan Kennedy,9,expand1,NA,NA
164,https://openalex.org/W3125598080,The Social Construction of the Concept of Law: A Reply to Julie Dickson,2005,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/gqi024,33,Frederick Schauer,9,expand1,NA,NA
165,https://openalex.org/W3124949875,Legal Positivism: Still Descriptive and Morally Neutral,2006,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/gqi028,38,Andrei Marmor,9,expand1,NA,NA
166,https://openalex.org/W3124500368,What is the Internal Point of View,2006,journal-article,Fordham Law Review,https://openalex.org/V142409771,NA,40,Scott J. Shapiro,9,expand1,NA,NA
167,https://openalex.org/W3124138602,About Morality and the Nature of Law,2003,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/48.1.1,39,Joseph Raz,9,expand1,NA,NA
168,https://openalex.org/W3123039146,POSITIVISM AND THE INSEPARABILITY OF LAW AND MORALS,2008,journal-article,New York University Law Review,https://openalex.org/V40812874,NA,31,Leslie Green,9,expand1,NA,NA
169,https://openalex.org/W3122273910,Causing the Conditions of One's Own Defense: A Study in the Limits of Theory in Criminal Law Doctrine,1985,journal-article,Virginia Law Review,https://openalex.org/V67391710,https://doi.org/10.2307/1072934,28,Paul H. Robinson,9,expand1,NA,NA
170,https://openalex.org/W306900037,Voluntary euthanasia and the inalienable right to life.,1978,book-chapter,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1515/9781400853564.245,111,Joel Feinberg,9,expand1,NA,NA
171,https://openalex.org/W2989687078,Forgiveness and mercy: The retributive idea,1988,book-chapter,NA,NA,https://doi.org/10.1017/cbo9780511625121.006,54,Jean Hampton,9,expand1,NA,NA
172,https://openalex.org/W2888890968,The Politics of Law,1982,book,NA,NA,NA,95,David Kairys,9,expand1,NA,NA
173,https://openalex.org/W2802756270,How to Do Things with Rules,1977,journal-article,University of Toronto Law Journal,https://openalex.org/V62734853,https://doi.org/10.2307/825561,109,Roderick A. Macdonald,9,expand1,NA,NA
174,https://openalex.org/W2796476225,"Principles, Positivism, and Legal Theory",1977,journal-article,Yale Law Journal,https://openalex.org/V161895660,https://doi.org/10.2307/795657,26,David Lyons,9,expand1,NA,NA
175,https://openalex.org/W2796173346,Constitutional Law in the Age of Balancing,1987,journal-article,Yale Law Journal,https://openalex.org/V161895660,https://doi.org/10.2307/796529,140,T. Alexander Aleinikoff,9,expand1,NA,NA
176,https://openalex.org/W264134678,Allgemeine Theorie der Normen,1979,book,NA,NA,NA,105,Hans Kelsen,9,expand1,NA,NA
177,https://openalex.org/W2606970277,Placing Blame: A Theory of the Criminal Law,1998,book,NA,NA,NA,47,Michael S. Moore,9,expand1,NA,NA
178,https://openalex.org/W2504400246,"Essay fifteen. Interpreting legal texts: What is, and what is not, special about the law",2008,book-chapter,NA,NA,https://doi.org/10.1515/9781400837847.403,24,Scott Soames,9,expand1,NA,NA
179,https://openalex.org/W2500492271,Justifications and Reasons,1996,book-chapter,NA,NA,https://doi.org/10.1093/acprof:oso/9780198260578.003.0013,18,John Gardner,9,expand1,NA,NA
180,https://openalex.org/W2499586832,Interpretive Construction in the Substantive Criminal Law,1981,journal-article,Stanford Law Review,https://openalex.org/V161743634,https://doi.org/10.2307/1228535,79,Mark Kelman,9,expand1,NA,NA
181,https://openalex.org/W2495620656,The Rule of Law and its Virtue,2017,book-chapter,NA,NA,https://doi.org/10.4324/9781315085302-3,275,Joseph Raz,9,expand1,NA,NA
182,https://openalex.org/W2494870707,Commitment in dialogue,1995,book,NA,NA,NA,294,Douglas Walton,9,expand1,NA,NA
183,https://openalex.org/W2485007749,Hans Kelsen's Pure Theory of Law,2007,monograph,NA,NA,https://doi.org/10.1093/acprof:oso/9780199227952.001.0001,39,Lars Vinx,9,expand1,NA,NA
184,https://openalex.org/W239583631,American Legal Realism,1993,book,NA,NA,NA,113,William W. Fisher,9,expand1,NA,NA
185,https://openalex.org/W2317886590,The justification of general deterrence,1985,journal-article,The Philosophical Review,https://openalex.org/V35579339,https://doi.org/10.2307/2185005,29,Daniel M. Farrell,9,expand1,NA,NA
186,https://openalex.org/W2317549675,Essays on Bentham: Jurisprudence and Political Theory,1982,book,NA,NA,NA,54,Gerald J. Postema,9,expand1,NA,NA
187,https://openalex.org/W2299562192,A Theory of Freedom of Expression,1972,book-chapter,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.4324/9781315181981-2,145,Thomas Scanlon,9,expand1,NA,NA
188,https://openalex.org/W2292081074,Reason-Giving and the Law,2011,posted-content,Social Science Research Network,https://openalex.org/V2751751161,NA,26,David Enoch,9,expand1,NA,NA
189,https://openalex.org/W222564579,The Charter Dialogue between Courts and Legislatures (Or Perhaps the Charter of Rights Isn't Such a Bad Thing after All),1997,book-chapter,Osgoode Hall Law Journal,https://openalex.org/V24806862,https://doi.org/10.4324/9781315096339-8,216,Peter W. Hogg,9,expand1,NA,NA
190,https://openalex.org/W2165829448,THE BASIS OF MORAL LIABILITY TO DEFENSIVE KILLING,2005,journal-article,Philosophical Issues,https://openalex.org/V171323035,https://doi.org/10.1111/j.1533-6077.2005.00073.x,98,Jeff McMahan,9,expand1,NA,NA
191,https://openalex.org/W2165394735,A Theory of Criminal Justice,1979,book,NA,NA,NA,82,Hyman Gross,9,expand1,NA,NA
192,https://openalex.org/W2156017621,Facts and Principles,2003,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1111/j.1088-4963.2003.00211.x,222,Gerald Allan Cohen,9,expand1,NA,NA
193,https://openalex.org/W2151540362,The legality of law,2004,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.2004.00262.x,36,John Gardner,9,expand1,NA,NA
194,https://openalex.org/W2116645954,Democratic Theory and Border Coercion No Right to Unilaterally Control Your Own Borders,2008,journal-article,Political Theory,https://openalex.org/V25369639,https://doi.org/10.1177/0090591707310090,335,Arash Abizadeh,9,expand1,NA,NA
195,https://openalex.org/W2109407406,The moral magic of consent,1996,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200000434,99,Heidi M. Hurd,9,expand1,NA,NA
196,https://openalex.org/W2107025559,A Predictive Role for Intermediate Legal Concepts,2003,NA,NA,NA,NA,33,Kevin D. Ashley,9,expand1,NA,NA
197,https://openalex.org/W2104421108,Judicial Review of Legislation: A Comparative Study of the Austrian and the American Constitution,1942,journal-article,The Journal of Politics,https://openalex.org/V95650557,https://doi.org/10.2307/2125770,87,Hans Kelsen,9,expand1,NA,NA
198,https://openalex.org/W2099215247,Formalizing legal coherence,2001,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/383535.383538,31,Jaap Hage,9,expand1,NA,NA
199,https://openalex.org/W2099136196,Rethinking the presumption of innocence,2007,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-006-9016-8,26,Victor Tadros,9,expand1,NA,NA
200,https://openalex.org/W2096182694,Back to the Future: Dimensions Revisited,2001,NA,NA,NA,NA,41,Trevor J. M. Bench-Capon,9,expand1,NA,NA
201,https://openalex.org/W2086971778,Morality and the retributive emotions,1982,journal-article,Criminal Justice Ethics,https://openalex.org/V78048965,https://doi.org/10.1080/0731129x.1982.9991689,60,J. L. Mackie,9,expand1,NA,NA
202,https://openalex.org/W2076754485,A logical framework for modelling legal argument,1993,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/158976.158977,67,Henry Prakken,9,expand1,NA,NA
203,https://openalex.org/W2074687777,Appropriate Responses and Preventive Benefits: Justifying Censure and Hard Treatment in Legal Punishment.,1993,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/13.2.166,27,Uma Narayan,9,expand1,NA,NA
204,https://openalex.org/W2073410822,Philosophical Anarchism and Political Disobedience,1992,book,NA,NA,NA,34,Chaim Gans,9,expand1,NA,NA
205,https://openalex.org/W2063412381,The Common Place of Law: Stories from Everyday Life,1998,monograph,Contemporary Sociology,https://openalex.org/V4789869,https://doi.org/10.7208/chicago/9780226212708.001.0001,1110,Patricia Ewick,9,expand1,NA,NA
206,https://openalex.org/W2055244532,Kelsen's Theory of the Basic Norm,1974,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/19.1.94,93,Joseph Raz,9,expand1,NA,NA
207,https://openalex.org/W2053716189,Isomorphism and legal knowledge based systems,1992,journal-article,Artificial Intelligence and Law,https://openalex.org/V96609033,https://doi.org/10.1007/bf00118479,111,Trevor J. M. Bench-Capon,9,expand1,NA,NA
208,https://openalex.org/W2048636620,The nature of rights.,2005,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1111/j.1088-4963.2005.00032.x,144,Leif Wenar,9,expand1,NA,NA
209,https://openalex.org/W2043652170,"Virtue, Vice, and Criminal Liability: Do We Want an Aristotelian Criminal Law?",2002,journal-article,Buffalo Criminal Law Review,https://openalex.org/V176536853,https://doi.org/10.1525/nclr.2002.6.1.147,20,R. A. Duff,9,expand1,NA,NA
210,https://openalex.org/W2040603703,Gauging Criminal Harm: A Living-Standard Analysis,1991,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/11.1.1,92,Andrew von Hirsch,9,expand1,NA,NA
211,https://openalex.org/W2039760166,How to Make the Punishment Fit the Crime,1983,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/292491,40,Michael Davis,9,expand1,NA,NA
212,https://openalex.org/W2039330167,Censure theory and intuitions about punishment,2000,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.2307/3505080,16,Thaddeus Metz,9,expand1,NA,NA
213,https://openalex.org/W2035707119,The Idea Of An Overlapping Consensus,1987,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/7.1.1,589,John Rawls,9,expand1,NA,NA
214,https://openalex.org/W2035049081,An Empowerment Theory of Legal Norms,1988,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.1988.tb00004.x,17,Stanley L. Paulson,9,expand1,NA,NA
215,https://openalex.org/W2033200056,"The rules of the road, a universal visual semiotics",2006,journal-article,International journal for the semiotics of law,https://openalex.org/V2764447599,https://doi.org/10.1007/s11196-006-9025-x,26,Anne Wagner,9,expand1,NA,NA
216,https://openalex.org/W2032902905,The Authority of Democracy,2004,journal-article,Journal of Political Philosophy,https://openalex.org/V81746323,https://doi.org/10.1111/j.1467-9760.2004.00200.x,145,Thomas Christiano,9,expand1,NA,NA
217,https://openalex.org/W2026106485,A simple computational model for nonmonotonic and adversarial legal reasoning,1993,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/158976.159001,42,Giovanni Sartor,9,expand1,NA,NA
218,https://openalex.org/W2024594479,"Law, Morality and Society",1978,journal-article,The Philosophical Quarterly,https://openalex.org/V81959571,https://doi.org/10.2307/2219371,85,Peter M. S. Hacker,9,expand1,NA,NA
219,https://openalex.org/W2018150336,Is the Rule of Law an Essentially Contested Concept (In Florida),2002,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.2307/3505128,190,Jeremy Waldron,9,expand1,NA,NA
220,https://openalex.org/W2008168692,The Problem with Negligence,2009,journal-article,Social Theory and Practice,https://openalex.org/V68409214,https://doi.org/10.5840/soctheorpract200935433,23,Matt King,9,expand1,NA,NA
221,https://openalex.org/W2002848380,Process and Policy: Resource-Bounded NonDemonstrative Reasoning,1998,journal-article,Computational Intelligence,https://openalex.org/V56561474,https://doi.org/10.1111/0824-7935.00055,116,Ronald P. Loui,9,expand1,NA,NA
222,https://openalex.org/W1992072592,Philosophy of criminal law,1987,book,NA,NA,NA,22,Douglas N. Husak,9,expand1,NA,NA
223,https://openalex.org/W1990779512,The law in quest of itself,1999,book,NA,NA,NA,55,Lon L. Fuller,9,expand1,NA,NA
224,https://openalex.org/W1983174135,Choosing a Legal Theory on Moral Grounds,1986,journal-article,Social Philosophy & Policy,https://openalex.org/V142878192,https://doi.org/10.1017/s026505250000042x,15,Philip Soper,9,expand1,NA,NA
225,https://openalex.org/W1982966970,From Apology to Utopia: The Structure of International Legal Argument,1989,book,NA,NA,NA,324,Martti Koskenniemi,9,expand1,NA,NA
226,https://openalex.org/W1979320841,The Zeno argumentation framework,1997,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/261618.261622,225,Thomas F. Gordon,9,expand1,NA,NA
227,https://openalex.org/W1977120201,Methodenlehre der Rechtswissenschaft,1960,book,American Journal of Comparative Law,https://openalex.org/V167039476,https://doi.org/10.1007/978-3-662-08709-1,191,Karl Larenz,9,expand1,NA,NA
228,https://openalex.org/W1971233474,Punishment: the supposed justifications,1969,book,NA,NA,NA,77,Roger Squires,9,expand1,NA,NA
229,https://openalex.org/W174389237,ON ANALOGICAL REASONING,1993,journal-article,Harvard Law Review,https://openalex.org/V117766065,https://doi.org/10.2307/1341662,131,Cass R. Sunstein,9,expand1,NA,NA
230,https://openalex.org/W1591817273,"Complicity, Cause and Blame: A Study in the Interpretation of Doctrine",1985,journal-article,California Law Review,https://openalex.org/V172107878,https://doi.org/10.15779/z38ff1v,56,Sanford H. Kadish,9,expand1,NA,NA
231,https://openalex.org/W1590467032,Two Conceptions of Emotion in Criminal Law,1996,journal-article,Columbia Law Review,https://openalex.org/V183770981,https://doi.org/10.2307/1123166,105,Dan M. Kahan,9,expand1,NA,NA
